Year,Month,Day,0830-0900,0900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,0000-0100,0100-0200,0200-0300,0300-0400,0400-0500,0500-0600,0600-0700,0700-0800,0800-0830,Daily,ROB Total
2021,May,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.1,0.1,0,0.1,0,0,0,0,0,3.1,3.1
2021,May,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,May,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,May,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,May,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,May,19,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,3.7,3.7
2021,May,20,0,0,0,0,0,0,0,10,24.5,0,7.5,0.2,0,2.1,11.2,0,0,0,0,3.2,0.2,1.2,0,0,0,60.1,59.7
2021,May,21,0,0,2.1,0,10.2,0.1,0.6,0,1.8,0.9,0,0,0,0,0,0,0,0,0.5,0,0,1.6,1.2,0.1,0,19.1,20.3
2021,May,22,2.1,0.1,0,8.2,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,15.3,15.4
2021,May,23,0,1.3,11,0,xx,xx,xx,0.3,0.2,0,0,0,0,0.5,1.7,9.9,4,0.3,8.1,1.7,0.3,0,1.1,0,0,xx,50.7
2021,May,24,0,1.5,2.4,5.1,10,0.1,4.8,0,8.2,13.5,xx,xx,xx,0.5,0,0,6.2,20.9,0.8,0.5,xx,xx,xx,xx,0.4,xx,97.6
2021,May,25,0,1.2,0,1.8,3.6,5.8,0.2,0.1,0.2,2.2,0.1,1.9,0.2,0.1,0,2.6,0.1,0,0,0,0,3,0.1,0.1,0,23.3,23.3
2021,May,26,0.5,0,0,2.8,2.8,0,1.3,2.3,3,0,0.9,3.3,0.2,0,0,6.2,0,0,2,1.6,0.9,0.8,0.5,0,0,29.1,29
2021,May,27,0,0,0.2,0.9,7,0,0,0.5,0,0,1,0,0,0,0,0.4,0,1.2,0,3,1,0.8,0.2,1.6,1,18.8,18.4
2021,May,28,0,0,0.4,0,0.7,0.1,0,0,0,0,0,0,0,0,TR,0.1,0,0,0.2,0,0,0.6,0,0,0,2.1,2.1
2021,May,29,0,0,0.5,0.1,6.4,0.4,0,0,0,1.3,0,0,0.1,0,0,0,0,0,0,0.1,0,0.8,0.1,1.3,1.4,12.5,12.5
2021,May,30,0,0,0,0.1,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0.1,2.3,0,0,0,0,0,0,0,3.5,3.5
2021,May,31,0,0,2.1,0.1,0,0,0,0.7,0,0.4,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7
2022,April,1,0,0,0,0,0,0,0,19.4,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,28
2022,April,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+
2022,April,3,0,0,0,0,0,0,0,0,0,1,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,April,4,0,0,0,0,0,0,0,0,0,1.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.5
2022,April,5,0,0,0,0,5,5.5,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,10.7
2022,April,6,0,0,0,0,0,1.1,0.2,0.5,2.4,1.8,0.5,Tr,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,6.8,6.5
2022,April,7,0,0,0,0,0,0,0,0,27.4,35.4,10.5,0.3,0,6.8,2.2,0.6,0.1,0,0,0,0,0,0,0,0,83.3,83.4
2022,April,8,0,0,0,0,0,0.2,5.8,2.4,0.3,1.6,1.8,1.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,13.6,13.4
2022,April,9,0,0,0,0,0,0,0,0.1,0,0.5,1.5,2.9,0.6,0,0,0,0,0,4.8,0,0.1,0,0.3,0,0,10.8,10.4
2022,April,10,0,5,13.5,1.7,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.1,0,0,0,0,21.8,21.8
2022,April,11,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2.4,2.1
2022,April,12,0,0,0.9,0,0,0.2,0.3,3.5,2.3,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,9.4,9.3
2022,April,13,Tr,0,Tr,0,Tr,0,0,0,0,4.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4.9
2022,April,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,April,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,April,16,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,7.7
2022,April,17,0,0,0,0,0,0,0,0,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.4
2022,April,18,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.5,1.5
2022,April,19,0,Tr,0,0,0,0,0,0,1.7,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7
2022,April,20,0,0,0,0,0,0,0,0,0,Tr,0,0,2.4,0,0,0.4,0,0,0,0,0,0,0,0,0,2.8,2.7
2022,April,21,0,0,0,0,0,3.5,2.3,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.3
2022,April,22,0,0,0,0,0,0.2,0.2,0.1,1.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.2
2022,April,23,0,0,0,0,0,0,0.7,1.1,1.8,3.6,4.7,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,14.8,14.7
2022,April,24,0,0,0,0,0,0,0,0,0,0,7.1,2.9,**,2.3,0,0,0,0,0,0,0,0,0,0,0,XX,48.7
2022,April,25,0,0,0,0,0,0,0,11.7,5.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,18.7
2022,April,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,April,27,0,0,0,0,0,0,0,0,0,0,0,57,25.1,12.7,1.3,1.2,0.1,0,0,0,0,0,0,0,0,97.4,102.8
2022,April,28,0,0,0,0,0,0,2.9,0.3,0.3,0,0,0.3,0.1,Tr,0,0,0,0,0,0,0,0,0,0,0,3.9,3.9
2022,April,29,0,0,0,0,0,0,0,19.2,1.3,0.2,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,20.7
2022,April,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+
2022,May,1,0,0,0+,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,3.5,1.8,0+,0,0,0,5.5,5.5
2022,May,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1.1,1.1
2022,May,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+,0,0,0,0,0,0,0+,0+
2022,May,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,2.9,1.3,0,4.4,4.2
2022,May,5,0.7,1.2,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.3,0,0,0,0,0,0,0,3.8,3.4
2022,May,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+
2022,May,7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.5
2022,May,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0+,0,0,0,0,0.1,0.1
2022,May,9,0,0,0,0,0,0,0,0,0,1.7,3.1,5,    XX,    XX,    XX,    XX,    XX,    XX,6.9,0.4,0.5,XX,6.8,0.1,0+,XX,105
2022,May,10,0,2.9,0,0,0,0,2.3,0,0,2.5,1.7,0,5.1,3,0,5.6,1.4,11.2,0.2,0.4,0.3,1,0.5,0,0,38.1,39
2022,May,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0.8,0+,0.1,XX,XX,XX,24.6
2022,May,12,9.1,0.3,0+,0,6.4,2.9,0.9,7.2,1.1,2.6,0.1,1.5,0,0.9,0,1.1,2.4,2.3,8.2,4.3,1.5,0.1,3.8,7.6,1.7,66,62.7
